,header,Length,%GC
0,>lcl|CP031558.1_cds_1,3872,0.18
1,>lcl|CP031558.1_cds_AYJ07823.1_2,2142,0.23
2,>lcl|CP031558.1_cds_AYJ07824.1_3,2910,0.23
3,>lcl|CP031558.1_cds_4,1954,0.24
4,>lcl|CP031558.1_cds_AYJ07825.1_5,1872,0.25
5,>lcl|CP031558.1_cds_AYJ07826.1_6,354,0.25
6,>lcl|CP031558.1_cds_AYJ07827.1_7,636,0.25
7,>lcl|CP031558.1_cds_AYJ07828.1_8,753,0.26
8,>lcl|CP031558.1_cds_AYJ07829.1_9,1440,0.26
9,>lcl|CP031558.1_cds_AYJ07830.1_10,1368,0.27
10,>lcl|CP031558.1_cds_AYJ07831.1_11,537,0.27
11,>lcl|CP031558.1_cds_AYJ07832.1_12,240,0.27
12,>lcl|CP031558.1_cds_AYJ07833.1_13,1794,0.27
13,>lcl|CP031558.1_cds_AYJ07834.1_14,696,0.27
14,>lcl|CP031558.1_cds_15,1123,0.28
15,>lcl|CP031558.1_cds_AYJ07835.1_16,777,0.28
16,>lcl|CP031558.1_cds_AYJ07836.1_17,2451,0.28
17,>lcl|CP031558.1_cds_18,2978,0.29
18,>lcl|CP031558.1_cds_19,709,0.29
19,>lcl|CP031558.1_cds_AYJ07837.1_20,2529,0.29
20,>lcl|CP031558.1_cds_AYJ07838.1_21,969,0.29
21,>lcl|CP031558.1_cds_AYJ07839.1_22,1143,0.29
22,>lcl|CP031558.1_cds_AYJ07840.1_23,1755,0.29
23,>lcl|CP031558.1_cds_AYJ07841.1_24,729,0.29
24,>lcl|CP031558.1_cds_AYJ09145.1_25,855,0.3
25,>lcl|CP031558.1_cds_AYJ07842.1_26,1575,0.3
26,>lcl|CP031558.1_cds_AYJ07843.1_27,1308,0.3
27,>lcl|CP031558.1_cds_AYJ07844.1_28,297,0.3
28,>lcl|CP031558.1_cds_AYJ07845.1_29,528,0.3
29,>lcl|CP031558.1_cds_AYJ07846.1_30,345,0.3
30,>lcl|CP031558.1_cds_AYJ07847.1_31,450,0.3
31,>lcl|CP031558.1_cds_AYJ07848.1_32,864,0.3
32,>lcl|CP031558.1_cds_AYJ07849.1_33,654,0.3
33,>lcl|CP031558.1_cds_AYJ07850.1_34,873,0.3
34,>lcl|CP031558.1_cds_AYJ07851.1_35,207,0.3
35,>lcl|CP031558.1_cds_36,78,0.3
36,>lcl|CP031558.1_cds_37,339,0.3
37,>lcl|CP031558.1_cds_AYJ07852.1_38,732,0.3
38,>lcl|CP031558.1_cds_AYJ07853.1_39,396,0.3
39,>lcl|CP031558.1_cds_AYJ07854.1_40,1068,0.3
40,>lcl|CP031558.1_cds_AYJ09146.1_41,795,0.3
41,>lcl|CP031558.1_cds_AYJ07855.1_42,2850,0.3
42,>lcl|CP031558.1_cds_AYJ07856.1_43,1317,0.3
43,>lcl|CP031558.1_cds_AYJ07857.1_44,294,0.31
